"","value","variable","balancing","mapb"
"Accuracy",0.646417445482866,"Accuracy","raw",6
"Kappa",0.486180891234676,"Kappa","raw",6
"AccuracyLower",0.608050156911513,"AccuracyLower","raw",6
"AccuracyUpper",0.683431157565749,"AccuracyUpper","raw",6
"AccuracyNull",0.498442367601246,"AccuracyNull","raw",6
"AccuracyPValue",0.0000000000000292133797332155,"AccuracyPValue","raw",6
"McnemarPValue",NA,"McnemarPValue","raw",6
"Class: 12",0.59247757073844,"Class: 12","raw",6
"Class: 21",0.776708074534161,"Class: 21","raw",6
"Class: 3",0.812274639423077,"Class: 3","raw",6
"Class: 33",1,"Class: 33","raw",6
"Class: 4",0.713273261111674,"Class: 4","raw",6
"Accuracy1",0.630434782608696,"Accuracy","GEDI",6
"Kappa1",0.474525426576112,"Kappa","GEDI",6
"AccuracyLower1",0.591848685836538,"AccuracyLower","GEDI",6
"AccuracyUpper1",0.667819145892447,"AccuracyUpper","GEDI",6
"AccuracyNull1",0.5,"AccuracyNull","GEDI",6
"AccuracyPValue1",0.0000000000182474435140206,"AccuracyPValue","GEDI",6
"McnemarPValue1",NA,"McnemarPValue","GEDI",6
"Class: 121",0.592562867843767,"Class: 12","GEDI",6
"Class: 211",0.743788819875776,"Class: 21","GEDI",6
"Class: 31",0.853621670158635,"Class: 3","GEDI",6
"Class: 331",1,"Class: 33","GEDI",6
"Class: 41",0.720434037404849,"Class: 4","GEDI",6
"Accuracy2",0.612752721617418,"Accuracy","GEDI + RSt",6
"Kappa2",0.451930482766175,"Kappa","GEDI + RSt",6
"AccuracyLower2",0.573876012024868,"AccuracyLower","GEDI + RSt",6
"AccuracyUpper2",0.650589222790237,"AccuracyUpper","GEDI + RSt",6
"AccuracyNull2",0.497667185069984,"AccuracyNull","GEDI + RSt",6
"AccuracyPValue2",0.00000000294069590077116,"AccuracyPValue","GEDI + RSt",6
"McnemarPValue2",NA,"McnemarPValue","GEDI + RSt",6
"Class: 122",0.593324146378809,"Class: 12","GEDI + RSt",6
"Class: 212",0.725116099071207,"Class: 21","GEDI + RSt",6
"Class: 32",0.853583745689009,"Class: 3","GEDI + RSt",6
"Class: 332",1,"Class: 33","GEDI + RSt",6
"Class: 42",0.705662205001761,"Class: 4","GEDI + RSt",6
"Accuracy3",0.661383285302594,"Accuracy","raw",8
"Kappa3",0.518279049022764,"Kappa","raw",8
"AccuracyLower3",0.624825041196805,"AccuracyLower","raw",8
"AccuracyUpper3",0.696562191064754,"AccuracyUpper","raw",8
"AccuracyNull3",0.412103746397695,"AccuracyNull","raw",8
"AccuracyPValue3",0.000000000000000000000000000000000000000502146290555037,"AccuracyPValue","raw",8
"McnemarPValue3",NA,"McnemarPValue","raw",8
"Class: 123",0.776522026068306,"Class: 12","raw",8
"Class: 213",0.726547304072584,"Class: 21","raw",8
"Class: 34",0.79818974987661,"Class: 3","raw",8
"Class: 333",1,"Class: 33","raw",8
"Class: 43",0.729175236528178,"Class: 4","raw",8
"Accuracy4",0.663793103448276,"Accuracy","GEDI",8
"Kappa4",0.525381250601054,"Kappa","GEDI",8
"AccuracyLower4",0.627340326054329,"AccuracyLower","GEDI",8
"AccuracyUpper4",0.698849949057275,"AccuracyUpper","GEDI",8
"AccuracyNull4",0.410919540229885,"AccuracyNull","GEDI",8
"AccuracyPValue4",0.0000000000000000000000000000000000000000291412185597482,"AccuracyPValue","GEDI",8
"McnemarPValue4",NA,"McnemarPValue","GEDI",8
"Class: 124",0.768035761706648,"Class: 12","GEDI",8
"Class: 214",0.720243277085445,"Class: 21","GEDI",8
"Class: 35",0.835187153896197,"Class: 3","GEDI",8
"Class: 334",1,"Class: 33","GEDI",8
"Class: 44",0.735587583148559,"Class: 4","GEDI",8
"Accuracy5",0.662840746054519,"Accuracy","GEDI + RSt",8
"Kappa5",0.526071218798013,"Kappa","GEDI + RSt",8
"AccuracyLower5",0.626394787566829,"AccuracyLower","GEDI + RSt",8
"AccuracyUpper5",0.697900926742857,"AccuracyUpper","GEDI + RSt",8
"AccuracyNull5",0.410329985652798,"AccuracyNull","GEDI + RSt",8
"AccuracyPValue5",0.0000000000000000000000000000000000000000332118767329548,"AccuracyPValue","GEDI + RSt",8
"McnemarPValue5",NA,"McnemarPValue","GEDI + RSt",8
"Class: 125",0.770903284441191,"Class: 12","GEDI + RSt",8
"Class: 215",0.725164699748803,"Class: 21","GEDI + RSt",8
"Class: 36",0.844146998257564,"Class: 3","GEDI + RSt",8
"Class: 335",1,"Class: 33","GEDI + RSt",8
"Class: 45",0.729590968642064,"Class: 4","GEDI + RSt",8
"Accuracy6",0.83442838370565,"Accuracy","raw",18
"Kappa6",0.757207452717857,"Kappa","raw",18
"AccuracyLower6",0.814785246667722,"AccuracyLower","raw",18
"AccuracyUpper6",0.852771428614526,"AccuracyUpper","raw",18
"AccuracyNull6",0.408672798948752,"AccuracyNull","raw",18
"AccuracyPValue6",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000126635749408413,"AccuracyPValue","raw",18
"McnemarPValue6",NA,"McnemarPValue","raw",18
"Class: 126",0.765285801155366,"Class: 12","raw",18
"Class: 216",0.948372793760072,"Class: 21","raw",18
"Class: 37",0.899887459807074,"Class: 3","raw",18
"Class: 336",0.998684210526316,"Class: 33","raw",18
"Class: 46",0.796145872080785,"Class: 4","raw",18
"Accuracy7",0.834532374100719,"Accuracy","GEDI",18
"Kappa7",0.75828488662721,"Kappa","GEDI",18
"AccuracyLower7",0.814940955347906,"AccuracyLower","GEDI",18
"AccuracyUpper7",0.852829303713002,"AccuracyUpper","GEDI",18
"AccuracyNull7",0.406801831262263,"AccuracyNull","GEDI",18
"AccuracyPValue7",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000396342914356182,"AccuracyPValue","GEDI",18
"McnemarPValue7",NA,"McnemarPValue","GEDI",18
"Class: 127",0.762843798650752,"Class: 12","GEDI",18
"Class: 217",0.940473676669105,"Class: 21","GEDI",18
"Class: 38",0.909252615420612,"Class: 3","GEDI",18
"Class: 337",0.75,"Class: 33","GEDI",18
"Class: 47",0.804070250896057,"Class: 4","GEDI",18
"Accuracy8",0.840760157273919,"Accuracy","GEDI + RSt",18
"Kappa8",0.766954230851173,"Kappa","GEDI + RSt",18
"AccuracyLower8",0.821421773293688,"AccuracyLower","GEDI + RSt",18
"AccuracyUpper8",0.858776875527125,"AccuracyUpper","GEDI + RSt",18
"AccuracyNull8",0.407601572739187,"AccuracyNull","GEDI + RSt",18
"AccuracyPValue8",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000538301881225524,"AccuracyPValue","GEDI + RSt",18
"McnemarPValue8",NA,"McnemarPValue","GEDI + RSt",18
"Class: 128",0.764189349815761,"Class: 12","GEDI + RSt",18
"Class: 218",0.940222368428537,"Class: 21","GEDI + RSt",18
"Class: 39",0.912299391059386,"Class: 3","GEDI + RSt",18
"Class: 338",0.75,"Class: 33","GEDI + RSt",18
"Class: 48",0.815732668799384,"Class: 4","GEDI + RSt",18
"Accuracy9",0.703324808184143,"Accuracy","raw",15
"Kappa9",0.557213007526871,"Kappa","raw",15
"AccuracyLower9",0.669945489985358,"AccuracyLower","raw",15
"AccuracyUpper9",0.735162469783918,"AccuracyUpper","raw",15
"AccuracyNull9",0.4923273657289,"AccuracyNull","raw",15
"AccuracyPValue9",0.00000000000000000000000000000000447913900593413,"AccuracyPValue","raw",15
"McnemarPValue9",0.0001785582769739,"McnemarPValue","raw",15
"Class: 129",0.655946307094266,"Class: 12","raw",15
"Class: 219",0.843992279760542,"Class: 21","raw",15
"Class: 310",0.806097046413502,"Class: 3","raw",15
"Class: 339",0.848704663212435,"Class: 33","raw",15
"Class: 49",0.716821013266063,"Class: 4","raw",15
"Accuracy10",0.688775510204082,"Accuracy","GEDI",15
"Kappa10",0.537576054979562,"Kappa","GEDI",15
"AccuracyLower10",0.655063047029554,"AccuracyLower","GEDI",15
"AccuracyUpper10",0.721060804564285,"AccuracyUpper","GEDI",15
"AccuracyNull10",0.491071428571429,"AccuracyNull","GEDI",15
"AccuracyPValue10",0.0000000000000000000000000000319917970290282,"AccuracyPValue","GEDI",15
"McnemarPValue10",0.0000026925442786312,"McnemarPValue","GEDI",15
"Class: 1210",0.643842194510722,"Class: 12","GEDI",15
"Class: 2110",0.831487810435179,"Class: 21","GEDI",15
"Class: 311",0.796857181716414,"Class: 3","GEDI",15
"Class: 3310",0.848708010335917,"Class: 33","GEDI",15
"Class: 410",0.716317571666501,"Class: 4","GEDI",15
"Accuracy11",0.698473282442748,"Accuracy","GEDI + RSt",15
"Kappa11",0.554652928027541,"Kappa","GEDI + RSt",15
"AccuracyLower11",0.665052452568986,"AccuracyLower","GEDI + RSt",15
"AccuracyUpper11",0.730397155974577,"AccuracyUpper","GEDI + RSt",15
"AccuracyNull11",0.489821882951654,"AccuracyNull","GEDI + RSt",15
"AccuracyPValue11",0.0000000000000000000000000000000175582791674038,"AccuracyPValue","GEDI + RSt",15
"McnemarPValue11",NA,"McnemarPValue","GEDI + RSt",15
"Class: 1211",0.657915999581045,"Class: 12","GEDI + RSt",15
"Class: 2111",0.839317291187615,"Class: 21","GEDI + RSt",15
"Class: 312",0.824506060102939,"Class: 3","GEDI + RSt",15
"Class: 3311",0.817536656891496,"Class: 33","GEDI + RSt",15
"Class: 411",0.709830117103744,"Class: 4","GEDI + RSt",15
"Accuracy12",0.777777777777778,"Accuracy","raw",19
"Kappa12",0.608829025774832,"Kappa","raw",19
"AccuracyLower12",0.733019774885082,"AccuracyLower","raw",19
"AccuracyUpper12",0.818228307920583,"AccuracyUpper","raw",19
"AccuracyNull12",0.640826873385013,"AccuracyNull","raw",19
"AccuracyPValue12",0.00000000401148533710177,"AccuracyPValue","raw",19
"McnemarPValue12",NA,"McnemarPValue","raw",19
"Class: 1212",0.650794912559618,"Class: 12","raw",19
"Class: 2112",0.905561035042933,"Class: 21","raw",19
"Class: 313",0.766872579752904,"Class: 3","raw",19
"Class: 3312",0.833333333333333,"Class: 33","raw",19
"Class: 412",0.780024509803922,"Class: 4","raw",19
"Accuracy13",0.793814432989691,"Accuracy","GEDI",19
"Kappa13",0.63424262063277,"Kappa","GEDI",19
"AccuracyLower13",0.750095802785278,"AccuracyLower","GEDI",19
"AccuracyUpper13",0.832984060346693,"AccuracyUpper","GEDI",19
"AccuracyNull13",0.641752577319588,"AccuracyNull","GEDI",19
"AccuracyPValue13",0.0000000000518372127741298,"AccuracyPValue","GEDI",19
"McnemarPValue13",NA,"McnemarPValue","GEDI",19
"Class: 1213",0.648168701442841,"Class: 12","GEDI",19
"Class: 2113",0.898601600647193,"Class: 21","GEDI",19
"Class: 314",0.829963235294118,"Class: 3","GEDI",19
"Class: 3313",0.833333333333333,"Class: 33","GEDI",19
"Class: 413",0.768633269331471,"Class: 4","GEDI",19
"Accuracy14",0.801546391752577,"Accuracy","GEDI + RSt",19
"Kappa14",0.649243918474688,"Kappa","GEDI + RSt",19
"AccuracyLower14",0.758332535454088,"AccuracyLower","GEDI + RSt",19
"AccuracyUpper14",0.840088918862648,"AccuracyUpper","GEDI + RSt",19
"AccuracyNull14",0.641752577319588,"AccuracyNull","GEDI + RSt",19
"AccuracyPValue14",0.00000000000474616911937431,"AccuracyPValue","GEDI + RSt",19
"McnemarPValue14",NA,"McnemarPValue","GEDI + RSt",19
"Class: 1214",0.677580466148724,"Class: 12","GEDI + RSt",19
"Class: 2114",0.90579584525151,"Class: 21","GEDI + RSt",19
"Class: 315",0.8546875,"Class: 3","GEDI + RSt",19
"Class: 3314",0.833333333333333,"Class: 33","GEDI + RSt",19
"Class: 414",0.754960144295107,"Class: 4","GEDI + RSt",19
"Accuracy15",0.616981132075472,"Accuracy","raw",17
"Kappa15",0.479741393900416,"Kappa","raw",17
"AccuracyLower15",0.574091960203952,"AccuracyLower","raw",17
"AccuracyUpper15",0.658558091603519,"AccuracyUpper","raw",17
"AccuracyNull15",0.39811320754717,"AccuracyNull","raw",17
"AccuracyPValue15",0.00000000000000000000000256998021794167,"AccuracyPValue","raw",17
"McnemarPValue15",NA,"McnemarPValue","raw",17
"Class: 1215",0.583666198855662,"Class: 12","raw",17
"Class: 2115",0.798801051865278,"Class: 21","raw",17
"Class: 316",0.805448121090579,"Class: 3","raw",17
"Class: 3315",0.897142857142857,"Class: 33","raw",17
"Class: 415",0.700991189427313,"Class: 4","raw",17
"Accuracy16",0.644736842105263,"Accuracy","GEDI",17
"Kappa16",0.511608929646972,"Kappa","GEDI",17
"AccuracyLower16",0.602412368880578,"AccuracyLower","GEDI",17
"AccuracyUpper16",0.685443208691428,"AccuracyUpper","GEDI",17
"AccuracyNull16",0.400375939849624,"AccuracyNull","GEDI",17
"AccuracyPValue16",0.00000000000000000000000000000560485328821146,"AccuracyPValue","GEDI",17
"McnemarPValue16",NA,"McnemarPValue","GEDI",17
"Class: 1216",0.627172394023005,"Class: 12","GEDI",17
"Class: 2116",0.809027624472015,"Class: 21","GEDI",17
"Class: 317",0.823626695364553,"Class: 3","GEDI",17
"Class: 3316",0.8,"Class: 33","GEDI",17
"Class: 416",0.698464912280702,"Class: 4","GEDI",17
"Accuracy17",0.647834274952919,"Accuracy","GEDI + RSt",17
"Kappa17",0.513524238786958,"Kappa","GEDI + RSt",17
"AccuracyLower17",0.605531304061218,"AccuracyLower","GEDI + RSt",17
"AccuracyUpper17",0.688481266973272,"AccuracyUpper","GEDI + RSt",17
"AccuracyNull17",0.39924670433145,"AccuracyNull","GEDI + RSt",17
"AccuracyPValue17",0.000000000000000000000000000000645348026387562,"AccuracyPValue","GEDI + RSt",17
"McnemarPValue17",NA,"McnemarPValue","GEDI + RSt",17
"Class: 1217",0.636652542372881,"Class: 12","GEDI + RSt",17
"Class: 2117",0.797258531969007,"Class: 21","GEDI + RSt",17
"Class: 318",0.844281678517014,"Class: 3","GEDI + RSt",17
"Class: 3317",0.8,"Class: 33","GEDI + RSt",17
"Class: 417",0.67406015037594,"Class: 4","GEDI + RSt",17
"Accuracy18",0.825966850828729,"Accuracy","raw",22
"Kappa18",0.650621974385685,"Kappa","raw",22
"AccuracyLower18",0.782904335952528,"AccuracyLower","raw",22
"AccuracyUpper18",0.863599497243525,"AccuracyUpper","raw",22
"AccuracyNull18",0.701657458563536,"AccuracyNull","raw",22
"AccuracyPValue18",0.0000000395777474678538,"AccuracyPValue","raw",22
"McnemarPValue18",NA,"McnemarPValue","raw",22
"Class: 1218",0.728813559322034,"Class: 12","raw",22
"Class: 2118",0.932852143482065,"Class: 21","raw",22
"Class: 319",0.776054463554464,"Class: 3","raw",22
"Class: 3318",0.998607242339833,"Class: 33","raw",22
"Class: 418",0.771221128544976,"Class: 4","raw",22
"Accuracy19",0.824175824175824,"Accuracy","GEDI",22
"Kappa19",0.649689478353709,"Kappa","GEDI",22
"AccuracyLower19",0.781101889050356,"AccuracyLower","GEDI",22
"AccuracyUpper19",0.861880829193126,"AccuracyUpper","GEDI",22
"AccuracyNull19",0.703296703296703,"AccuracyNull","GEDI",22
"AccuracyPValue19",0.0000000822567748178464,"AccuracyPValue","GEDI",22
"McnemarPValue19",NA,"McnemarPValue","GEDI",22
"Class: 1219",0.720505617977528,"Class: 12","GEDI",22
"Class: 2119",0.931929976851852,"Class: 21","GEDI",22
"Class: 320",0.810656904616636,"Class: 3","GEDI",22
"Class: 3319",1,"Class: 33","GEDI",22
"Class: 419",0.730650004843553,"Class: 4","GEDI",22
"Accuracy20",0.84297520661157,"Accuracy","GEDI + RSt",22
"Kappa20",0.681097993280108,"Kappa","GEDI + RSt",22
"AccuracyLower20",0.801393449354125,"AccuracyLower","GEDI + RSt",22
"AccuracyUpper20",0.878849576183035,"AccuracyUpper","GEDI + RSt",22
"AccuracyNull20",0.702479338842975,"AccuracyNull","GEDI + RSt",22
"AccuracyPValue20",0.000000000394138167312658,"AccuracyPValue","GEDI + RSt",22
"McnemarPValue20",NA,"McnemarPValue","GEDI + RSt",22
"Class: 1220",0.788556338028169,"Class: 12","GEDI + RSt",22
"Class: 2120",0.933006535947712,"Class: 21","GEDI + RSt",22
"Class: 321",0.836700336700337,"Class: 3","GEDI + RSt",22
"Class: 3320",1,"Class: 33","GEDI + RSt",22
"Class: 420",0.714827050136028,"Class: 4","GEDI + RSt",22
"Accuracy21",0.885400313971743,"Accuracy","raw",23
"Kappa21",0.680409891272972,"Kappa","raw",23
"AccuracyLower21",0.858073294254112,"AccuracyLower","raw",23
"AccuracyUpper21",0.909088764708085,"AccuracyUpper","raw",23
"AccuracyNull21",0.789638932496075,"AccuracyNull","raw",23
"AccuracyPValue21",0.000000000157319599588374,"AccuracyPValue","raw",23
"McnemarPValue21",NA,"McnemarPValue","raw",23
"Class: 1221",0.874557678697806,"Class: 12","raw",23
"Class: 2121",0.94155217946055,"Class: 21","raw",23
"Class: 322",0.725469808995687,"Class: 3","raw",23
"Class: 3321",0.9984,"Class: 33","raw",23
"Class: 421",0.706261859582543,"Class: 4","raw",23
"Accuracy22",0.886792452830189,"Accuracy","GEDI",23
"Kappa22",0.688245906661674,"Kappa","GEDI",23
"AccuracyLower22",0.859565701269262,"AccuracyLower","GEDI",23
"AccuracyUpper22",0.91036089560932,"AccuracyUpper","GEDI",23
"AccuracyNull22",0.789308176100629,"AccuracyNull","GEDI",23
"AccuracyPValue22",0.0000000000747144408093370,"AccuracyPValue","GEDI",23
"McnemarPValue22",NA,"McnemarPValue","GEDI",23
"Class: 1222",0.872142477405635,"Class: 12","GEDI",23
"Class: 2122",0.9422756734257,"Class: 21","GEDI",23
"Class: 323",0.746296296296296,"Class: 3","GEDI",23
"Class: 3322",0.998397435897436,"Class: 33","GEDI",23
"Class: 422",0.708638221039627,"Class: 4","GEDI",23
"Accuracy23",0.89937106918239,"Accuracy","GEDI + RSt",23
"Kappa23",0.722741793759238,"Kappa","GEDI + RSt",23
"AccuracyLower23",0.873318218280125,"AccuracyLower","GEDI + RSt",23
"AccuracyUpper23",0.921638825983547,"AccuracyUpper","GEDI + RSt",23
"AccuracyNull23",0.789308176100629,"AccuracyNull","GEDI + RSt",23
"AccuracyPValue23",0.000000000000115649821597646,"AccuracyPValue","GEDI + RSt",23
"McnemarPValue23",NA,"McnemarPValue","GEDI + RSt",23
"Class: 1223",0.929292929292929,"Class: 12","GEDI + RSt",23
"Class: 2123",0.946007016709282,"Class: 21","GEDI + RSt",23
"Class: 324",0.78275462962963,"Class: 3","GEDI + RSt",23
"Class: 3323",0.998397435897436,"Class: 33","GEDI + RSt",23
"Class: 423",0.712676993252875,"Class: 4","GEDI + RSt",23
"Accuracy24",0.918762088974855,"Accuracy","raw",26
"Kappa24",0.719797661754458,"Kappa","raw",26
"AccuracyLower24",0.89177499948777,"AccuracyLower","raw",26
"AccuracyUpper24",0.940825532173414,"AccuracyUpper","raw",26
"AccuracyNull24",0.825918762088975,"AccuracyNull","raw",26
"AccuracyPValue24",0.000000000917089847087497,"AccuracyPValue","raw",26
"McnemarPValue24",NA,"McnemarPValue","raw",26
"Class: 1224",0.740253411306043,"Class: 12","raw",26
"Class: 2124",0.900572469424928,"Class: 21","raw",26
"Class: 325",0.85625694187338,"Class: 3","raw",26
"Class: 3324",0.999031007751938,"Class: 33","raw",26
"Class: 424",0.532755775577558,"Class: 4","raw",26
"Accuracy25",0.920849420849421,"Accuracy","GEDI",26
"Kappa25",0.732892304209481,"Kappa","GEDI",26
"AccuracyLower25",0.8941538218756,"AccuracyLower","GEDI",26
"AccuracyUpper25",0.942603715530297,"AccuracyUpper","GEDI",26
"AccuracyNull25",0.826254826254826,"AccuracyNull","GEDI",26
"AccuracyPValue25",0.000000000379537372342096,"AccuracyPValue","GEDI",26
"McnemarPValue25",NA,"McnemarPValue","GEDI",26
"Class: 1225",0.739299610894942,"Class: 12","GEDI",26
"Class: 2125",0.921651090342679,"Class: 21","GEDI",26
"Class: 326",0.875696475296291,"Class: 3","GEDI",26
"Class: 3325",0.999032882011605,"Class: 33","GEDI",26
"Class: 425",0.490118577075099,"Class: 4","GEDI",26
"Accuracy26",0.928571428571429,"Accuracy","GEDI + RSt",26
"Kappa26",0.761367597987948,"Kappa","GEDI + RSt",26
"AccuracyLower26",0.902886714840366,"AccuracyLower","GEDI + RSt",26
"AccuracyUpper26",0.949212232690838,"AccuracyUpper","GEDI + RSt",26
"AccuracyNull26",0.826254826254826,"AccuracyNull","GEDI + RSt",26
