"Ano","Acurácia","Discordância de Área","Discordância de Alocação","X", "Y"
1985,0,812765342718994,-0,0117434856883032,-0,175491171592709
1986,0,817439075990174,-0,0136661282250212,-0,16889479578481
1987,0,820414889351812,-0,0271493428476618,-0,152435767800531
1988,0,821919702353492,-0,0367109865074128,-0,141369311139101
1989,0,822688098744494,-0,0432827637714875,-0,134029137484024
1990,0,82273527439042,-0,0483794709922786,-0,128885254617308
1991,0,825173542357115,-0,0492212189495463,-0,125605238693343
1992,0,827087452658178,-0,0505893049248345,-0,122323242416991
1993,0,827216001615073,-0,0519990314178897,-0,12078496696704
1994,0,830968183145659,-0,0536570033885255,-0,115374813465818
1995,0,831240247768073,-0,0537808046363623,-0,114978947595567
1996,0,83370311655836,-0,0534540146854184,-0,112842868756223
1997,0,835782045639108,-0,05175149627278,-0,112466458088113
1998,0,837416736393321,-0,0529549675240784,-0,109628296082602
1999,0,838411898381087,-0,051923940556444,-0,109664161062471
2000,0,839416270694875,-0,054300448939769,-0,106283280365358
2001,0,839821631317325,-0,0551841315630418,-0,104994237119634
2002,0,843754530843483,-0,0534565604291162,-0,102788908727401
2003,0,843634119616259,-0,0530236097987813,-0,103342270584959
2004,0,846336591994747,-0,0535615930178311,-0,10010181498742
2005,0,845543727085031,-0,0543613206727817,-0,100094952242185
2006,0,847518698202812,-0,0550797132247307,-0,0974015885724548
2007,0,846652567043263,-0,0547109060981784,-0,0986365268585558
2008,0,847593065359047,-0,0559045421721568,-0,0965023924687942
2009,0,845778754097705,-0,0571802664415636,-0,0970409794607289
2010,0,848080492934655,-0,0565728886842346,-0,095346618381108
2011,0,847117438743382,-0,0567803417811913,-0,0961022194754248
2012,0,848113111278355,-0,0556111285121694,-0,0962757602094733
2013,0,848979520333296,-0,0552859230955676,-0,0957345565711346
2014,0,851572411826908,-0,0533411322784153,-0,0950864558946754
2015,0,850393547442114,-0,0527382478309295,-0,0968682047269546
2016,0,848327334181998,-0,0533772634888584,-0,0982954023291427
2017,0,847830737937782,-0,0530593939035562,-0,0991098681586605
2018,0,847637206766909,-0,0515204360882941,-0,100842357144796